datetime,locomotive_id,Speed,primary_locomotive_speed
53:52.0,BNSF8409,0.00,0.00
53:53.0,BNSF8409,0.00,0.00
53:54.0,BNSF8409,0.00,0.00
53:55.0,BNSF8409,0.00,0.00
53:56.0,BNSF8409,0.00,0.00
53:57.0,BNSF8409,0.00,0.00
53:58.0,BNSF8409,0.00,0.00
53:59.0,BNSF8409,0.00,0.00
54:00.0,BNSF8409,0.00,0.00
54:01.0,BNSF8409,0.00,0.00
54:02.0,BNSF8409,0.00,0.00
54:03.0,BNSF8409,0.00,0.00
54:04.0,BNSF8409,0.00,0.00
54:05.0,BNSF8409,0.00,0.00
54:06.0,BNSF8409,0.00,0.00
54:07.0,BNSF8409,0.00,0.00
54:08.0,BNSF8409,0.00,0.00
54:09.0,BNSF8409,0.00,0.00
54:10.0,BNSF8409,0.00,0.00
54:11.0,BNSF8409,0.00,0.00
54:12.0,BNSF8409,0.00,0.00
54:13.0,BNSF8409,0.00,0.00
54:14.0,BNSF8409,0.00,0.00
54:15.0,BNSF8409,0.00,0.00
54:16.0,BNSF8409,0.00,0.00
54:17.0,BNSF8409,0.00,0.00
54:18.0,BNSF8409,0.00,0.00
54:19.0,BNSF8409,0.00,0.00
54:20.0,BNSF8409,0.00,0.00
54:21.0,BNSF8409,0.00,0.00
54:22.0,BNSF8409,0.00,0.00
54:23.0,BNSF8409,0.00,0.00
54:24.0,BNSF8409,0.00,0.00
54:25.0,BNSF8409,0.00,0.00
54:26.0,BNSF8409,0.00,0.00
54:27.0,BNSF8409,0.00,0.00
54:28.0,BNSF8409,0.00,0.00
54:29.0,BNSF8409,0.00,0.00
54:30.0,BNSF8409,0.00,0.00
54:31.0,BNSF8409,0.00,0.00
54:32.0,BNSF8409,0.00,0.00
54:33.0,BNSF8409,0.00,0.00
54:34.0,BNSF8409,0.00,0.00
54:35.0,BNSF8409,0.00,0.00
54:36.0,BNSF8409,0.00,0.00
54:37.0,BNSF8409,0.00,0.00
54:38.0,BNSF8409,0.00,0.00
54:39.0,BNSF8409,0.00,0.00
54:40.0,BNSF8409,0.00,0.00
54:41.0,BNSF8409,0.00,0.00
54:42.0,BNSF8409,0.00,0.00
54:43.0,BNSF8409,0.00,0.00
54:44.0,BNSF8409,0.00,0.00
54:45.0,BNSF8409,0.00,0.00
54:46.0,BNSF8409,0.00,0.00
54:47.0,BNSF8409,0.00,0.00
54:48.0,BNSF8409,0.00,0.00
54:49.0,BNSF8409,0.00,0.00
54:50.0,BNSF8409,0.00,0.00
54:51.0,BNSF8409,0.00,0.00
54:52.0,BNSF8409,0.00,0.00
54:53.0,BNSF8409,0.00,0.00
54:54.0,BNSF8409,0.00,0.00
54:55.0,BNSF8409,0.00,0.00
54:56.0,BNSF8409,0.00,0.00
54:57.0,BNSF8409,0.00,0.00
54:58.0,BNSF8409,0.00,0.00
54:59.0,BNSF8409,0.00,0.00
55:00.0,BNSF8409,0.00,0.00
55:01.0,BNSF8409,0.00,0.00
55:02.0,BNSF8409,0.00,0.00
55:03.0,BNSF8409,0.00,0.00
55:04.0,BNSF8409,0.00,0.00
55:05.0,BNSF8409,0.00,0.00
55:06.0,BNSF8409,0.00,0.00
55:07.0,BNSF8409,0.00,0.00
55:08.0,BNSF8409,0.00,0.00
55:09.0,BNSF8409,0.00,0.00
55:10.0,BNSF8409,0.00,0.00
55:11.0,BNSF8409,0.00,0.00
55:12.0,BNSF8409,0.00,0.00
55:13.0,BNSF8409,0.00,0.00
55:14.0,BNSF8409,0.00,0.00
55:15.0,BNSF8409,0.00,0.00
55:16.0,BNSF8409,0.00,0.00
55:17.0,BNSF8409,0.00,0.00
55:18.0,BNSF8409,0.00,0.00
55:19.0,BNSF8409,0.00,0.00
55:20.0,BNSF8409,0.00,0.00
55:21.0,BNSF8409,0.00,0.00
55:22.0,BNSF8409,0.00,0.00
55:23.0,BNSF8409,0.00,0.00
55:24.0,BNSF8409,0.00,0.00
55:25.0,BNSF8409,0.00,0.00
55:26.0,BNSF8409,0.00,0.00
55:27.0,BNSF8409,0.00,0.00
55:28.0,BNSF8409,0.00,0.18
55:29.0,BNSF8409,0.00,0.59
55:30.0,BNSF8409,0.00,1.08
55:31.0,BNSF8409,0.00,1.51
55:32.0,BNSF8409,0.86,1.59
55:00.0,BNSF8409,0.00,0.00
55:01.0,BNSF8409,0.00,0.00
55:02.0,BNSF8409,0.00,0.00
55:03.0,BNSF8409,0.00,0.00
55:04.0,BNSF8409,0.00,0.00
55:05.0,BNSF8409,0.00,0.00
55:06.0,BNSF8409,0.00,0.00
55:07.0,BNSF8409,0.00,0.00
55:08.0,BNSF8409,0.00,0.00
55:09.0,BNSF8409,0.00,0.00
55:10.0,BNSF8409,0.00,0.00
55:11.0,BNSF8409,0.00,0.00
55:12.0,BNSF8409,0.00,0.00
55:13.0,BNSF8409,0.00,0.00
55:14.0,BNSF8409,0.00,0.00
55:15.0,BNSF8409,0.00,0.00
55:16.0,BNSF8409,0.00,0.00
55:17.0,BNSF8409,0.00,0.00
55:18.0,BNSF8409,0.00,0.00
55:19.0,BNSF8409,0.00,0.00
55:20.0,BNSF8409,0.00,0.00
55:21.0,BNSF8409,0.00,0.00
55:22.0,BNSF8409,0.00,0.00
55:23.0,BNSF8409,0.00,0.00
55:24.0,BNSF8409,0.00,0.00
55:25.0,BNSF8409,0.00,0.00
55:26.0,BNSF8409,0.00,0.00
55:27.0,BNSF8409,0.00,0.00
55:28.0,BNSF8409,0.00,0.00
55:29.0,BNSF8409,0.00,0.00
55:30.0,BNSF8409,0.00,0.00
55:31.0,BNSF8409,0.00,0.00
55:32.0,BNSF8409,0.00,0.00
55:33.0,BNSF8409,0.00,0.00
55:34.0,BNSF8409,0.00,0.00
55:35.0,BNSF8409,0.00,0.00
55:36.0,BNSF8409,0.00,0.00
55:37.0,BNSF8409,0.00,0.00
55:38.0,BNSF8409,0.00,0.00
55:39.0,BNSF8409,0.00,0.00
55:40.0,BNSF8409,0.00,0.00
55:41.0,BNSF8409,0.00,0.00
55:42.0,BNSF8409,0.00,0.00
55:43.0,BNSF8409,0.00,0.00
55:44.0,BNSF8409,0.00,0.00
32:21.0,BNSF8409,0.00,0.00
32:22.0,BNSF8409,0.00,0.00
32:23.0,BNSF8409,0.00,0.00
32:24.0,BNSF8409,0.00,0.00
32:25.0,BNSF8409,0.00,0.00
32:26.0,BNSF8409,0.00,0.00
32:27.0,BNSF8409,0.00,0.00
32:28.0,BNSF8409,0.00,0.00
32:29.0,BNSF8409,0.00,0.00
32:30.0,BNSF8409,0.00,0.00
32:31.0,BNSF8409,0.00,0.00
32:32.0,BNSF8409,0.00,0.00
32:33.0,BNSF8409,0.00,0.00
32:34.0,BNSF8409,0.00,0.00
32:35.0,BNSF8409,0.00,0.00
32:36.0,BNSF8409,0.00,0.00
32:37.0,BNSF8409,0.00,0.00
32:38.0,BNSF8409,0.00,0.00
32:39.0,BNSF8409,0.00,0.00
32:40.0,BNSF8409,0.00,0.00
32:41.0,BNSF8409,0.00,0.00
32:42.0,BNSF8409,0.00,0.00
32:43.0,BNSF8409,0.00,0.00
32:44.0,BNSF8409,0.00,0.00
32:45.0,BNSF8409,0.00,0.00
32:46.0,BNSF8409,0.00,0.00
32:47.0,BNSF8409,0.00,0.00
32:48.0,BNSF8409,0.00,0.00
32:49.0,BNSF8409,0.00,0.00
32:50.0,BNSF8409,0.00,0.00
32:51.0,BNSF8409,0.00,0.00
32:52.0,BNSF8409,0.00,0.00
32:53.0,BNSF8409,0.00,0.00
32:54.0,BNSF8409,0.00,0.00
32:55.0,BNSF8409,0.00,0.00
32:56.0,BNSF8409,0.00,0.00
32:57.0,BNSF8409,0.00,0.00
32:58.0,BNSF8409,0.00,0.00
32:59.0,BNSF8409,0.00,0.00
33:00.0,BNSF8409,0.00,0.00
33:01.0,BNSF8409,0.00,0.00
33:02.0,BNSF8409,0.00,0.00
33:03.0,BNSF8409,0.00,0.00
33:04.0,BNSF8409,0.00,0.00
33:05.0,BNSF8409,0.00,0.00
33:06.0,BNSF8409,0.00,0.00
33:07.0,BNSF8409,0.00,0.00
33:08.0,BNSF8409,0.00,0.00
33:09.0,BNSF8409,0.00,0.00
33:10.0,BNSF8409,0.00,0.00
33:11.0,BNSF8409,0.00,0.00
33:12.0,BNSF8409,0.00,0.00
33:13.0,BNSF8409,0.00,0.00
33:14.0,BNSF8409,0.00,0.00
33:15.0,BNSF8409,0.00,0.00
33:16.0,BNSF8409,0.00,0.00
33:17.0,BNSF8409,0.00,0.00
33:18.0,BNSF8409,0.00,0.00
33:19.0,BNSF8409,0.00,0.00
33:20.0,BNSF8409,0.00,0.00
33:21.0,BNSF8409,0.00,0.00
33:22.0,BNSF8409,0.00,0.00
33:23.0,BNSF8409,0.00,0.00
33:24.0,BNSF8409,0.00,0.00
33:25.0,BNSF8409,0.00,0.00
33:26.0,BNSF8409,0.00,0.00
33:27.0,BNSF8409,0.00,0.00
33:28.0,BNSF8409,0.00,0.00
33:29.0,BNSF8409,0.00,0.00
33:30.0,BNSF8409,0.00,0.00
33:31.0,BNSF8409,0.00,0.00
33:32.0,BNSF8409,0.00,0.00
33:33.0,BNSF8409,0.00,0.00
33:34.0,BNSF8409,0.00,0.00
33:35.0,BNSF8409,0.00,0.00
33:36.0,BNSF8409,0.00,0.00
33:37.0,BNSF8409,0.00,0.00
33:38.0,BNSF8409,0.00,0.00
33:39.0,BNSF8409,0.00,0.00
33:40.0,BNSF8409,0.00,0.00
33:41.0,BNSF8409,0.00,0.00
33:42.0,BNSF8409,0.00,0.00
33:43.0,BNSF8409,0.00,0.00
33:44.0,BNSF8409,0.00,0.00
33:45.0,BNSF8409,0.00,0.00
33:46.0,BNSF8409,0.00,0.00
33:47.0,BNSF8409,0.00,0.00
33:48.0,BNSF8409,0.00,0.00
33:49.0,BNSF8409,0.00,0.00
33:50.0,BNSF8409,0.00,0.00
33:51.0,BNSF8409,0.00,0.00
33:52.0,BNSF8409,0.00,0.00
33:53.0,BNSF8409,0.00,0.00
33:54.0,BNSF8409,0.00,0.00
33:55.0,BNSF8409,0.00,0.00
33:56.0,BNSF8409,0.00,0.00
33:57.0,BNSF8409,0.00,0.00
33:58.0,BNSF8409,0.00,0.00
33:59.0,BNSF8409,0.00,0.00
34:00.0,BNSF8409,0.00,0.00
34:01.0,BNSF8409,0.00,0.00
34:02.0,BNSF8409,0.00,0.00
34:03.0,BNSF8409,0.00,0.00
34:04.0,BNSF8409,0.00,0.00
34:05.0,BNSF8409,0.00,0.00
34:06.0,BNSF8409,0.00,0.00
34:07.0,BNSF8409,0.00,0.00
34:08.0,BNSF8409,0.00,0.00
34:09.0,BNSF8409,0.00,0.00
34:10.0,BNSF8409,0.00,0.00
34:11.0,BNSF8409,0.00,0.00
34:12.0,BNSF8409,0.00,0.00
34:13.0,BNSF8409,0.00,0.00
34:14.0,BNSF8409,0.00,0.00
34:15.0,BNSF8409,0.00,0.00
34:16.0,BNSF8409,0.00,0.00
34:17.0,BNSF8409,0.00,0.00
34:18.0,BNSF8409,0.00,0.00
34:19.0,BNSF8409,0.00,0.00
34:20.0,BNSF8409,0.00,0.00
34:21.0,BNSF8409,0.00,0.00
34:22.0,BNSF8409,0.00,0.00
34:23.0,BNSF8409,0.00,0.00
34:24.0,BNSF8409,0.00,0.00
34:25.0,BNSF8409,0.00,0.00
34:26.0,BNSF8409,0.00,0.00
34:27.0,BNSF8409,0.00,0.00
34:28.0,BNSF8409,0.00,0.00
34:29.0,BNSF8409,0.00,0.00
34:30.0,BNSF8409,0.00,0.00
34:31.0,BNSF8409,0.00,0.00
34:32.0,BNSF8409,0.00,0.00
34:33.0,BNSF8409,0.00,0.00
34:34.0,BNSF8409,0.00,0.00
34:35.0,BNSF8409,0.00,0.00
34:36.0,BNSF8409,0.00,0.00
34:37.0,BNSF8409,0.00,0.00
34:38.0,BNSF8409,0.00,0.00
34:39.0,BNSF8409,0.00,0.00
34:40.0,BNSF8409,0.00,0.00
34:41.0,BNSF8409,0.00,0.00
34:42.0,BNSF8409,0.00,0.00
34:43.0,BNSF8409,0.00,0.00
34:44.0,BNSF8409,0.00,0.00
34:45.0,BNSF8409,0.00,0.00
34:46.0,BNSF8409,0.00,0.00
34:47.0,BNSF8409,0.00,0.00
34:48.0,BNSF8409,0.00,0.00
34:49.0,BNSF8409,0.00,0.00
34:50.0,BNSF8409,0.00,0.00
34:51.0,BNSF8409,0.00,0.00
34:52.0,BNSF8409,0.00,0.00
34:53.0,BNSF8409,0.00,0.00
34:54.0,BNSF8409,0.00,0.00
34:55.0,BNSF8409,0.00,0.00
34:56.0,BNSF8409,0.00,0.00
34:57.0,BNSF8409,0.00,0.00
34:58.0,BNSF8409,0.00,0.00
34:59.0,BNSF8409,0.00,0.00
35:00.0,BNSF8409,0.00,0.00
35:01.0,BNSF8409,0.00,0.00
35:02.0,BNSF8409,0.00,0.00
35:03.0,BNSF8409,0.00,0.00
35:04.0,BNSF8409,0.00,0.00
35:05.0,BNSF8409,0.00,0.00
35:06.0,BNSF8409,0.00,0.00
35:07.0,BNSF8409,0.00,0.00
35:08.0,BNSF8409,0.00,0.00
35:09.0,BNSF8409,0.00,0.00
35:10.0,BNSF8409,0.00,0.00
35:11.0,BNSF8409,0.00,0.00
35:12.0,BNSF8409,0.00,0.00
35:13.0,BNSF8409,0.00,0.00
35:14.0,BNSF8409,0.00,0.00
35:15.0,BNSF8409,0.00,0.00
35:16.0,BNSF8409,0.00,0.00
35:17.0,BNSF8409,0.00,0.00
35:18.0,BNSF8409,0.00,0.00
35:19.0,BNSF8409,0.00,0.00
35:20.0,BNSF8409,0.00,0.00
35:21.0,BNSF8409,0.00,0.00
35:22.0,BNSF8409,0.00,0.00
35:23.0,BNSF8409,0.00,0.00
35:24.0,BNSF8409,0.00,0.00
35:25.0,BNSF8409,0.00,0.00
35:26.0,BNSF8409,0.00,0.00
35:27.0,BNSF8409,0.00,0.00
35:28.0,BNSF8409,0.00,0.00
35:29.0,BNSF8409,0.00,0.00
35:30.0,BNSF8409,0.00,0.00
35:31.0,BNSF8409,0.00,0.00
35:32.0,BNSF8409,0.00,0.00
35:33.0,BNSF8409,0.00,0.00
35:34.0,BNSF8409,0.00,0.00
35:35.0,BNSF8409,0.00,0.00
35:36.0,BNSF8409,0.00,0.00
35:37.0,BNSF8409,0.00,0.00
35:38.0,BNSF8409,0.00,0.00
35:39.0,BNSF8409,0.00,0.00
35:40.0,BNSF8409,0.00,0.00
35:41.0,BNSF8409,0.00,0.00
35:42.0,BNSF8409,0.00,0.00
35:43.0,BNSF8409,0.00,0.00
35:44.0,BNSF8409,0.00,0.00
35:45.0,BNSF8409,0.00,0.00
35:46.0,BNSF8409,0.00,0.00
35:47.0,BNSF8409,0.00,0.00
30:28.0,BNSF8409,0.00,0.00
30:29.0,BNSF8409,0.00,0.00
30:30.0,BNSF8409,0.00,0.00
30:31.0,BNSF8409,0.00,0.00
30:32.0,BNSF8409,0.00,0.00
30:33.0,BNSF8409,0.00,0.00
30:34.0,BNSF8409,0.00,0.00
30:35.0,BNSF8409,0.00,0.00
30:36.0,BNSF8409,0.00,0.00
30:37.0,BNSF8409,0.00,0.00
30:38.0,BNSF8409,0.00,0.00
30:39.0,BNSF8409,0.00,0.00
30:40.0,BNSF8409,0.00,0.00
30:41.0,BNSF8409,0.00,0.00
30:42.0,BNSF8409,0.00,0.00
30:43.0,BNSF8409,0.00,0.00
30:44.0,BNSF8409,0.00,0.00
30:45.0,BNSF8409,0.00,0.00
30:46.0,BNSF8409,0.00,0.00
30:47.0,BNSF8409,0.00,0.00
30:48.0,BNSF8409,0.00,0.00
30:49.0,BNSF8409,0.00,0.00
30:50.0,BNSF8409,0.00,0.00
30:51.0,BNSF8409,0.00,0.00
30:52.0,BNSF8409,0.00,0.00
30:53.0,BNSF8409,0.00,0.00
30:54.0,BNSF8409,0.00,0.00
30:55.0,BNSF8409,0.00,0.00
30:56.0,BNSF8409,0.00,0.00
30:57.0,BNSF8409,0.00,0.00
30:58.0,BNSF8409,0.00,0.00
30:59.0,BNSF8409,0.00,0.00
31:00.0,BNSF8409,0.00,0.00
31:01.0,BNSF8409,0.00,0.00
31:02.0,BNSF8409,0.00,0.00
31:03.0,BNSF8409,0.00,0.00
31:04.0,BNSF8409,0.00,0.00
31:05.0,BNSF8409,0.00,0.00
31:06.0,BNSF8409,0.00,0.00
31:07.0,BNSF8409,0.00,0.00
31:08.0,BNSF8409,0.00,0.00
31:09.0,BNSF8409,0.00,0.00
31:10.0,BNSF8409,0.00,0.00
31:11.0,BNSF8409,0.00,0.00
31:12.0,BNSF8409,0.00,0.00
31:13.0,BNSF8409,0.00,0.00
31:14.0,BNSF8409,0.00,0.00
31:15.0,BNSF8409,0.00,0.00
16:44.0,BNSF8409,0.00,0.00
16:45.0,BNSF8409,0.00,0.00
16:46.0,BNSF8409,0.00,0.00
16:47.0,BNSF8409,0.00,0.00
16:48.0,BNSF8409,0.00,0.00
16:49.0,BNSF8409,0.00,0.00
16:50.0,BNSF8409,0.00,0.00
16:51.0,BNSF8409,0.00,0.00
16:52.0,BNSF8409,0.00,0.00
16:53.0,BNSF8409,0.00,0.00
16:54.0,BNSF8409,0.00,0.00
16:55.0,BNSF8409,0.00,0.00
16:56.0,BNSF8409,0.00,0.00
16:57.0,BNSF8409,0.00,0.04
16:58.0,BNSF8409,0.00,
16:59.0,BNSF8409,0.00,0.03
17:00.0,BNSF8409,0.00,0.03
17:01.0,BNSF8409,0.00,0.00
17:02.0,BNSF8409,0.00,0.00
17:03.0,BNSF8409,0.00,0.00
17:04.0,BNSF8409,0.00,0.00
17:05.0,BNSF8409,0.00,0.00
17:06.0,BNSF8409,0.00,0.00
17:07.0,BNSF8409,0.00,0.00
17:08.0,BNSF8409,0.00,0.00
17:09.0,BNSF8409,0.00,0.00
17:10.0,BNSF8409,0.00,0.00
17:11.0,BNSF8409,0.00,0.00
17:12.0,BNSF8409,0.00,0.00
17:13.0,BNSF8409,0.00,0.00
17:14.0,BNSF8409,0.00,0.07
17:15.0,BNSF8409,0.00,0.35
17:16.0,BNSF8409,0.00,0.78
17:17.0,BNSF8409,0.00,1.42
17:18.0,BNSF8409,1.14,1.53
17:19.0,BNSF8409,1.72,1.63
17:20.0,BNSF8409,2.29,1.57
17:21.0,BNSF8409,2.29,1.55
17:22.0,BNSF8409,2.15,1.51
17:23.0,BNSF8409,2.15,1.49
17:24.0,BNSF8409,2.15,1.49
17:25.0,BNSF8409,2.15,1.48
17:26.0,BNSF8409,2.15,1.52
17:27.0,BNSF8409,2.15,1.56
17:28.0,BNSF8409,2.15,1.54
17:29.0,BNSF8409,2.15,1.53
17:30.0,BNSF8409,2.15,1.56
17:31.0,BNSF8409,2.29,1.66
17:32.0,BNSF8409,2.29,1.66
17:33.0,BNSF8409,2.44,1.67
17:34.0,BNSF8409,2.44,1.65
17:35.0,BNSF8409,2.44,1.66
17:36.0,BNSF8409,2.29,1.69
17:37.0,BNSF8409,2.44,1.69
17:38.0,BNSF8409,2.44,1.75
17:39.0,BNSF8409,2.58,1.55
17:40.0,BNSF8409,2.44,1.53
17:41.0,BNSF8409,2.29,0.72
17:42.0,BNSF8409,1.43,0.37
17:43.0,BNSF8409,0.86,0.20
17:44.0,BNSF8409,0.56,0.09
17:45.0,BNSF8409,0.35,0.07
17:46.0,BNSF8409,0.00,0.01
17:47.0,BNSF8409,0.00,0.00
17:48.0,BNSF8409,0.00,0.00
17:49.0,BNSF8409,0.00,0.00
17:50.0,BNSF8409,0.00,0.00
17:51.0,BNSF8409,0.00,0.00
17:52.0,BNSF8409,0.00,0.00
17:53.0,BNSF8409,0.00,0.00
17:54.0,BNSF8409,0.00,0.00
17:55.0,BNSF8409,0.00,0.00
17:56.0,BNSF8409,0.00,0.00
17:57.0,BNSF8409,0.00,0.00
17:58.0,BNSF8409,0.00,0.00
17:59.0,BNSF8409,0.00,0.37
18:00.0,BNSF8409,0.00,0.50
18:01.0,BNSF8409,0.00,0.47
18:02.0,BNSF8409,0.00,0.57
18:03.0,BNSF8409,0.00,0.49
18:04.0,BNSF8409,0.86,0.17
18:05.0,BNSF8409,0.86,0.07
18:06.0,BNSF8409,0.00,0.00
18:07.0,BNSF8409,0.00,0.00
18:08.0,BNSF8409,0.00,0.00
18:09.0,BNSF8409,0.00,0.00
18:10.0,BNSF8409,0.00,0.00
18:11.0,BNSF8409,0.00,0.00
18:12.0,BNSF8409,0.00,0.00
18:13.0,BNSF8409,0.00,0.00
18:14.0,BNSF8409,0.00,0.00
18:15.0,BNSF8409,0.00,0.00
18:16.0,BNSF8409,0.00,0.00
18:17.0,BNSF8409,0.00,0.00
18:18.0,BNSF8409,0.00,0.00
18:19.0,BNSF8409,0.00,0.00
18:20.0,BNSF8409,0.00,0.00
18:21.0,BNSF8409,0.00,0.00
18:22.0,BNSF8409,0.00,0.00
18:23.0,BNSF8409,0.00,0.00
18:24.0,BNSF8409,0.00,0.00
18:25.0,BNSF8409,0.00,0.00
18:26.0,BNSF8409,0.00,0.00
18:27.0,BNSF8409,0.00,0.00
18:28.0,BNSF8409,0.00,0.00
18:29.0,BNSF8409,0.00,0.00
18:30.0,BNSF8409,0.00,0.00
18:31.0,BNSF8409,0.00,0.00
18:32.0,BNSF8409,0.00,0.00
18:33.0,BNSF8409,0.00,0.00
18:34.0,BNSF8409,0.00,0.00
18:35.0,BNSF8409,0.00,0.00
18:36.0,BNSF8409,0.00,0.00
18:37.0,BNSF8409,0.00,0.00
18:38.0,BNSF8409,0.00,0.00
18:39.0,BNSF8409,0.00,0.00
18:40.0,BNSF8409,0.00,0.00
18:41.0,BNSF8409,0.00,0.00
18:42.0,BNSF8409,0.00,0.00
18:43.0,BNSF8409,0.00,0.00
18:44.0,BNSF8409,0.00,0.00
18:45.0,BNSF8409,0.00,0.00
18:46.0,BNSF8409,0.00,0.00
18:47.0,BNSF8409,0.00,0.00
18:48.0,BNSF8409,0.00,0.00
18:49.0,BNSF8409,0.00,0.00
18:50.0,BNSF8409,0.00,0.00
18:51.0,BNSF8409,0.00,0.00
18:52.0,BNSF8409,0.00,0.00
18:53.0,BNSF8409,0.00,0.00
18:54.0,BNSF8409,0.00,0.00
18:55.0,BNSF8409,0.00,0.00
18:56.0,BNSF8409,0.00,0.00
18:57.0,BNSF8409,0.00,0.00
18:58.0,BNSF8409,0.00,0.00
18:59.0,BNSF8409,0.00,0.00
19:00.0,BNSF8409,0.00,0.00
19:01.0,BNSF8409,0.00,0.00
19:02.0,BNSF8409,0.00,0.00
19:03.0,BNSF8409,0.00,0.00
19:04.0,BNSF8409,0.00,0.00
19:05.0,BNSF8409,0.00,0.00
19:06.0,BNSF8409,0.00,0.00
19:07.0,BNSF8409,0.00,0.00
19:08.0,BNSF8409,0.00,0.03
19:09.0,BNSF8409,0.00,0.07
19:10.0,BNSF8409,0.00,0.12
19:11.0,BNSF8409,0.00,0.12
19:12.0,BNSF8409,0.00,0.11
19:13.0,BNSF8409,0.00,0.09
19:14.0,BNSF8409,0.00,0.10
19:15.0,BNSF8409,0.00,0.16
19:16.0,BNSF8409,0.00,0.42
19:17.0,BNSF8409,0.00,1.17
